Key,English (United States)(en-US),Chinese (Simplified)(zh-CN)
"MovementSpeedPropertyName","MovSpd","移速"
"MaxJumpTimesPropertyName","MaxJump","最大跳跃次数"
"FlySpeedPropertyName","FlySpd","飞行速度"
"ExperiencePropertyName","Exp","经验"
"ExperienceBoostPropertyName","ExpBoost","经验倍率"
"LuckPropertyName","Luck","幸运"
"DamageableFloorHealthPropertyName","HP","耐久"
"HealthOwnerEntityHealthPropertyName","HP","血量"
"CooldownPropertyName","CD","冷却"
"FloorPositionPropertyName","Pos","位置"
"PropertyTypeName","Property Type","属性类型"
"DefaultPropertyTypeName","Default Property Type","默认属性类型"
"EntityPropertyTypeName","Entity Property Type","实体属性类型"
"CreaturePropertyTypeName","Creature Property Type","生物属性类型"
"SpellPropertyTypeName","Spell Property Type","法术技能类型"
